Variable	Type	Overall (N=926)	0 (N=871)	1 (N=55)	Unadj. |SMD|	IPTW 0 (Σw=1006.3)	IPTW 1 (Σw=1006.2)	IPTW |SMD|
✔ Age	Cont.	48.4 ± 14.3	48.3 ± 14.3	49.9 ± 14.8	0.107	49.4 ± 14.3	49.5 ± 14.5	0.005
✔ Creatinine	Cont.	1.1 ± 0.6	1.1 ± 0.6	1.0 ± 0.5	0.048	1.1 ± 0.6	1.1 ± 0.4	0.003
✔ Diabetes	Cat.	FALSE: 503 (54.3%); TRUE: 423 (45.7%)	FALSE: 474 (54.4%); TRUE: 397 (45.6%)	FALSE: 29 (52.7%); TRUE: 26 (47.3%)	0.034	FALSE: 474 (56.2%); TRUE: 397 (43.8%)	FALSE: 29 (56.1%); TRUE: 26 (43.9%)	0.001
✔ Dialysis	Cat.	FALSE: 889 (96%); TRUE: 37 (4%)	FALSE: 835 (95.9%); TRUE: 36 (4.1%)	FALSE: 54 (98.2%); TRUE: 1 (1.8%)	0.137	FALSE: 835 (96.1%); TRUE: 36 (3.9%)	FALSE: 54 (96.1%); TRUE: 1 (3.9%)	0.000
✔ DON_Age	Cont.	34.7 ± 13.4	34.6 ± 13.3	36.4 ± 14.5	0.136	34.6 ± 13.3	34.6 ± 13.7	0.004
✔ DON_Diabetes	Cat.	FALSE: 847 (91.5%); TRUE: 79 (8.5%)	FALSE: 800 (91.8%); TRUE: 71 (8.2%)	FALSE: 47 (85.5%); TRUE: 8 (14.5%)	0.203	FALSE: 800 (91.4%); TRUE: 71 (8.6%)	FALSE: 47 (91.4%); TRUE: 8 (8.6%)	0.000
✔ DON_Distance	Cont.	322.7 ± 364.6	318.6 ± 362.2	387.1 ± 399.2	0.181	358.4 ± 433.0	358.4 ± 383.1	0.000
✔ DON_Height	Cont.	171.0 ± 9.5	171.0 ± 9.6	170.8 ± 9.0	0.016	171.0 ± 9.4	171.2 ± 9.6	0.029
✔ DON_HTN	Cat.	FALSE: 698 (75.4%); TRUE: 228 (24.6%)	FALSE: 656 (75.3%); TRUE: 215 (24.7%)	FALSE: 42 (76.4%); TRUE: 13 (23.6%)	0.024	FALSE: 656 (75.4%); TRUE: 215 (24.6%)	FALSE: 42 (75.3%); TRUE: 13 (24.7%)	0.001
✔ DON_PFR	Cont.	395.6 ± 140.4	397.3 ± 140.2	368.2 ± 141.6	0.208	389.5 ± 142.3	390.1 ± 128.2	0.004
✔ DON_Race_White	Cat.	FALSE: 372 (40.2%); TRUE: 554 (59.8%)	FALSE: 360 (41.3%); TRUE: 511 (58.7%)	FALSE: 12 (21.8%); TRUE: 43 (78.2%)	0.429	FALSE: 360 (36.5%); TRUE: 511 (63.5%)	FALSE: 12 (36.4%); TRUE: 43 (63.6%)	0.002
✔ DON_Weight	Cont.	77.1 ± 18.4	77.0 ± 18.3	78.8 ± 18.7	0.099	76.6 ± 17.9	76.7 ± 15.5	0.007
✔ Dx_OB	Cat.	FALSE: 324 (35%); TRUE: 602 (65%)	FALSE: 307 (35.2%); TRUE: 564 (64.8%)	FALSE: 17 (30.9%); TRUE: 38 (69.1%)	0.092	FALSE: 307 (36.5%); TRUE: 564 (63.5%)	FALSE: 17 (36.4%); TRUE: 38 (63.6%)	0.002
✔ ECMO	Cat.	FALSE: 807 (87.1%); TRUE: 119 (12.9%)	FALSE: 755 (86.7%); TRUE: 116 (13.3%)	FALSE: 52 (94.5%); TRUE: 3 (5.5%)	0.272	FALSE: 755 (87.3%); TRUE: 116 (12.7%)	FALSE: 52 (87.3%); TRUE: 3 (12.7%)	0.001
✔ Height	Cont.	169.6 ± 10.0	169.5 ± 10.0	171.1 ± 9.6	0.160	169.6 ± 9.9	169.9 ± 9.5	0.028
✔ INIT_single_lung	Cat.	FALSE: 699 (75.5%); TRUE: 227 (24.5%)	FALSE: 657 (75.4%); TRUE: 214 (24.6%)	FALSE: 42 (76.4%); TRUE: 13 (23.6%)	0.022	FALSE: 657 (73.8%); TRUE: 214 (26.2%)	FALSE: 42 (73.7%); TRUE: 13 (26.3%)	0.001
